fyear,trust_code,trust_type
201314,RET,ACUTE - SPECIALIST
201314,RF4,ACUTE - LARGE
201314,RFF,ACUTE - SMALL
201314,RFR,ACUTE - MEDIUM
201314,RFS,ACUTE - SMALL
201314,RFW,ACUTE - SMALL
201314,RGD,MENTAL HEALTH AND LEARNING DISABILITY
201314,RGM,ACUTE - SPECIALIST
201314,RGN,ACUTE - SMALL
201314,RGP,ACUTE - SMALL
201314,RGQ,ACUTE - MEDIUM
201314,RGR,ACUTE - SMALL
201314,RGT,ACUTE - TEACHING
201314,RH5,MENTAL HEALTH AND LEARNING DISABILITY
201314,RH8,ACUTE - LARGE
201314,RHA,MENTAL HEALTH AND LEARNING DISABILITY
201314,RHM,ACUTE - TEACHING
201314,RHQ,ACUTE - TEACHING
201314,RHU,ACUTE - LARGE
201314,RHW,ACUTE - LARGE
201314,RJ1,ACUTE - TEACHING
201314,RJ2,ACUTE - MEDIUM
201314,RJ6,ACUTE - MEDIUM
201314,RJ7,ACUTE - TEACHING
201314,RJ8,MENTAL HEALTH AND LEARNING DISABILITY
201314,RJC,ACUTE - SMALL
201314,RJD,ACUTE - SMALL
201314,RJE,ACUTE - LARGE
201314,RJF,ACUTE - SMALL
201314,RJL,ACUTE - LARGE
201314,RJN,ACUTE - SMALL
201314,RJR,ACUTE - SMALL
201314,RJX,MENTAL HEALTH AND LEARNING DISABILITY
201314,RJZ,ACUTE - TEACHING
201314,RK5,ACUTE - MEDIUM
201314,RK9,ACUTE - LARGE
201314,RKB,ACUTE - TEACHING
201314,RKE,ACUTE - MEDIUM
201314,RKL,MENTAL HEALTH AND LEARNING DISABILITY
201314,RL1,ACUTE - SPECIALIST
201314,RL4,ACUTE - LARGE
201314,RLN,ACUTE - LARGE
201314,RLQ,ACUTE - SMALL
201314,RLT,ACUTE - SMALL
201314,RLU,ACUTE - SPECIALIST
201314,RLY,MENTAL HEALTH AND LEARNING DISABILITY
201314,RM1,ACUTE - TEACHING
201314,RM2,ACUTE - TEACHING
201314,RM3,ACUTE - TEACHING
201314,RMC,ACUTE - MEDIUM
201314,RMP,ACUTE - SMALL
201314,RMY,MENTAL HEALTH AND LEARNING DISABILITY
201314,RN3,ACUTE - MEDIUM
201314,RN5,ACUTE - LARGE
201314,RN7,ACUTE - SMALL
201314,RNA,ACUTE - MEDIUM
201314,RNK,MENTAL HEALTH AND LEARNING DISABILITY
201314,RNL,ACUTE - MEDIUM
201314,RNN,MENTAL HEALTH AND LEARNING DISABILITY
201314,RNQ,ACUTE - SMALL
201314,RNS,ACUTE - MEDIUM
201314,RNU,MENTAL HEALTH AND LEARNING DISABILITY
201314,RNZ,ACUTE - SMALL
201314,RP1,MENTAL HEALTH AND LEARNING DISABILITY
201314,RP4,ACUTE - SPECIALIST
201314,RP5,ACUTE - LARGE
201314,RP6,ACUTE - SPECIALIST
201314,RP7,MENTAL HEALTH AND LEARNING DISABILITY
201314,RPA,ACUTE - MEDIUM
201314,RPC,ACUTE - SPECIALIST
201314,RPG,MENTAL HEALTH AND LEARNING DISABILITY
201314,RPY,ACUTE - SPECIALIST
201314,RQ3,ACUTE - SPECIALIST
201314,RQ6,ACUTE - TEACHING
201314,RQ8,ACUTE - MEDIUM
201314,RQM,ACUTE - TEACHING
201314,RQQ,ACUTE - SMALL
201314,RQW,ACUTE - SMALL
201314,RQX,ACUTE - MEDIUM
201314,RQY,MENTAL HEALTH AND LEARNING DISABILITY
201314,RR1,ACUTE - LARGE
201314,RR7,ACUTE - SMALL
201314,RR8,ACUTE - TEACHING
201314,RRD,MENTAL HEALTH AND LEARNING DISABILITY
201314,RRE,MENTAL HEALTH AND LEARNING DISABILITY
201314,RRF,ACUTE - MEDIUM
201314,RRJ,ACUTE - SPECIALIST
201314,RRK,ACUTE - TEACHING
201314,RRP,MENTAL HEALTH AND LEARNING DISABILITY
201314,RRU,AMBULANCE
201314,RRV,ACUTE - TEACHING
201314,RT1,MENTAL HEALTH AND LEARNING DISABILITY
201314,RT2,MENTAL HEALTH AND LEARNING DISABILITY
201314,RT3,ACUTE - SPECIALIST
201314,RT5,MENTAL HEALTH AND LEARNING DISABILITY
201314,RTD,ACUTE - TEACHING
201314,RTE,ACUTE - LARGE
201314,RTF,ACUTE - LARGE
201314,RTG,ACUTE - LARGE
201314,RTH,ACUTE - TEACHING
201314,RTK,ACUTE - MEDIUM
201314,RTP,ACUTE - SMALL
201314,RTQ,MENTAL HEALTH AND LEARNING DISABILITY
201314,RTR,ACUTE - LARGE
201314,RTV,MENTAL HEALTH AND LEARNING DISABILITY
201314,RTX,ACUTE - MEDIUM
201314,RV3,MENTAL HEALTH AND LEARNING DISABILITY
201314,RV5,MENTAL HEALTH AND LEARNING DISABILITY
201314,RV8,ACUTE - LARGE
201314,RV9,MENTAL HEALTH AND LEARNING DISABILITY
201314,RVJ,ACUTE - LARGE
201314,RVL,ACUTE - LARGE
201314,RVN,MENTAL HEALTH AND LEARNING DISABILITY
201314,RVR,ACUTE - LARGE
201314,RVV,ACUTE - LARGE
201314,RVW,ACUTE - MEDIUM
201314,RVY,ACUTE - SMALL
201314,RW1,MENTAL HEALTH AND LEARNING DISABILITY
201314,RW3,ACUTE - TEACHING
201314,RW4,MENTAL HEALTH AND LEARNING DISABILITY
201314,RW5,MENTAL HEALTH AND LEARNING DISABILITY
201314,RW6,ACUTE - LARGE
201314,RWA,ACUTE - TEACHING
201314,RWD,ACUTE - LARGE
201314,RWE,ACUTE - TEACHING
201314,RWF,ACUTE - LARGE
201314,RWG,ACUTE - MEDIUM
201314,RWH,ACUTE - LARGE
201314,RWJ,ACUTE - MEDIUM
201314,RWK,MENTAL HEALTH AND LEARNING DISABILITY
201314,RWN,MENTAL HEALTH AND LEARNING DISABILITY
201314,RWP,ACUTE - LARGE
201314,RWR,MENTAL HEALTH AND LEARNING DISABILITY
201314,RWV,MENTAL HEALTH AND LEARNING DISABILITY
201314,RWW,ACUTE - SMALL
201314,RWX,MENTAL HEALTH AND LEARNING DISABILITY
201314,RWY,ACUTE - LARGE
201314,RX1,ACUTE - TEACHING
201314,RX2,MENTAL HEALTH AND LEARNING DISABILITY
201314,RX3,MENTAL HEALTH AND LEARNING DISABILITY
201314,RX4,MENTAL HEALTH AND LEARNING DISABILITY
201314,RX6,AMBULANCE
201314,RX7,AMBULANCE
201314,RX8,AMBULANCE
201314,RX9,AMBULANCE
201314,RXA,MENTAL HEALTH AND LEARNING DISABILITY
201314,RXC,ACUTE - LARGE
201314,RXE,MENTAL HEALTH AND LEARNING DISABILITY
201314,RXF,ACUTE - LARGE
201314,RXG,MENTAL HEALTH AND LEARNING DISABILITY
201314,RXH,ACUTE - LARGE
201314,RXK,ACUTE - LARGE
201314,RXL,ACUTE - MEDIUM
201314,RXM,MENTAL HEALTH AND LEARNING DISABILITY
201314,RXN,ACUTE - TEACHING
201314,RXP,ACUTE - LARGE
201314,RXQ,ACUTE - MULTI-SERVICE
201314,RXR,ACUTE - LARGE
201314,RXT,MENTAL HEALTH AND LEARNING DISABILITY
201314,RXV,MENTAL HEALTH AND LEARNING DISABILITY
201314,RXW,ACUTE - LARGE
201314,RXX,MENTAL HEALTH AND LEARNING DISABILITY
201314,RXY,MENTAL HEALTH AND LEARNING DISABILITY
201314,RY1,COMMUNITY
201314,RY2,COMMUNITY
201314,RY3,COMMUNITY
201314,RY4,COMMUNITY
201314,RY5,COMMUNITY
201314,RY6,COMMUNITY
201314,RY7,COMMUNITY
201314,RY8,COMMUNITY
201314,RY9,COMMUNITY
201314,RYA,AMBULANCE
201314,RYC,AMBULANCE
201314,RYD,AMBULANCE
201314,RYE,AMBULANCE
201314,RYF,AMBULANCE
201314,RYG,MENTAL HEALTH AND LEARNING DISABILITY
201314,RYJ,ACUTE - TEACHING
201314,RYK,MENTAL HEALTH AND LEARNING DISABILITY
201314,RYR,ACUTE - LARGE
201314,RYV,COMMUNITY
201314,RYW,COMMUNITY
201314,RYX,COMMUNITY
201314,RYY,COMMUNITY
201314,TAD,CARE TRUST
201314,TAE,CARE TRUST
201314,TAF,CARE TRUST
201314,TAH,CARE TRUST
201314,TAJ,CARE TRUST
201213,5A4,CARE TRUST
201213,5A8,CARE TRUST
201213,5C2,CARE TRUST
201213,5D7,CARE TRUST
201213,5D8,CARE TRUST
201213,5EM,CARE TRUST
201213,5FE,CARE TRUST
201213,5J2,CARE TRUST
201213,5KF,CARE TRUST
201213,5KG,CARE TRUST
201213,5KL,CARE TRUST
201213,5L1,CARE TRUST
201213,5LD,CARE TRUST
201213,5LE,CARE TRUST
201213,5LF,CARE TRUST
201213,5LH,CARE TRUST
201213,5N7,CARE TRUST
201213,5N8,CARE TRUST
201213,5NA,CARE TRUST
201213,5NC,CARE TRUST
201213,5NH,CARE TRUST
201213,5P5,CARE TRUST
201213,5PA,CARE TRUST
201213,5PC,CARE TRUST
201213,5PH,CARE TRUST
201213,5PJ,CARE TRUST
201213,5PT,CARE TRUST
201213,5PW,CARE TRUST
201213,5QC,CARE TRUST
201213,5QT,CARE TRUST
201213,NAX,INDEPENDENT SECTOR
201213,NLY,INDEPENDENT SECTOR
201213,NNV,INDEPENDENT SECTOR
201213,NQ7,INDEPENDENT SECTOR
201213,NQK,INDEPENDENT SECTOR
201213,NQL,INDEPENDENT SECTOR
201213,NR5,INDEPENDENT SECTOR
201213,R1A,MENTAL HEALTH AND LEARNING DISABILITY
201213,R1C,ACUTE - MULTI-SERVICE
201213,R1D,COMMUNITY
201213,R1E,ACUTE - SMALL
201213,R1G,COMMUNITY
201213,R1H,ACUTE - LARGE
201213,RA2,ACUTE - MEDIUM
201213,RA3,ACUTE - SMALL
201213,RA4,ACUTE - SMALL
201213,RA7,ACUTE - TEACHING
201213,RA9,ACUTE - MEDIUM
201213,RAE,ACUTE - TEACHING
201213,RAJ,ACUTE - MEDIUM
201213,RAL,ACUTE - TEACHING
201213,RAN,ACUTE - SPECIALIST
201213,RAP,ACUTE - SMALL
201213,RAS,ACUTE - MULTI-SERVICE
201213,RAT,MENTAL HEALTH AND LEARNING DISABILITY
201213,RAX,ACUTE - MEDIUM
201213,RBA,ACUTE - SMALL
201213,RBB,ACUTE - SPECIALIST
201213,RBD,ACUTE - SMALL
201213,RBK,ACUTE - SMALL
201213,RBL,ACUTE - TEACHING
201213,RBN,ACUTE - MEDIUM
201213,RBQ,ACUTE - SPECIALIST
201213,RBS,ACUTE - SPECIALIST
201213,RBT,ACUTE - SMALL
201213,RBV,ACUTE - SPECIALIST
201213,RBZ,ACUTE - SMALL
201213,RC1,ACUTE - SMALL
201213,RC3,ACUTE - SMALL
201213,RC9,ACUTE - MEDIUM
201213,RCB,ACUTE - MEDIUM
201213,RCD,ACUTE - SMALL
201213,RCF,ACUTE - MEDIUM
201213,RCU,ACUTE - SPECIALIST
201213,RCX,ACUTE - SMALL
201213,RD1,ACUTE - MEDIUM
201213,RD3,ACUTE - MEDIUM
201213,RD7,ACUTE - MEDIUM
201213,RD8,ACUTE - SMALL
201213,RDD,ACUTE - MEDIUM
201213,RDE,ACUTE - SMALL
201213,RDR,COMMUNITY
201213,RDU,ACUTE - MEDIUM
201213,RDY,MENTAL HEALTH AND LEARNING DISABILITY
201213,RDZ,ACUTE - MEDIUM
201213,RE9,ACUTE - SMALL
201213,REF,ACUTE - LARGE
201213,REM,ACUTE - MEDIUM
201213,REN,ACUTE - SPECIALIST
201213,REP,ACUTE - SPECIALIST
201213,RET,ACUTE - SPECIALIST
201213,RF4,ACUTE - LARGE
201213,RFF,ACUTE - SMALL
201213,RFR,ACUTE - SMALL
201213,RFS,ACUTE - SMALL
201213,RFW,ACUTE - SMALL
201213,RGD,MENTAL HEALTH AND LEARNING DISABILITY
201213,RGM,ACUTE - SPECIALIST
201213,RGN,ACUTE - MEDIUM
201213,RGP,ACUTE - SMALL
201213,RGQ,ACUTE - MEDIUM
201213,RGR,ACUTE - SMALL
201213,RGT,ACUTE - TEACHING
201213,RH5,MENTAL HEALTH AND LEARNING DISABILITY
201213,RH8,ACUTE - LARGE
201213,RHA,MENTAL HEALTH AND LEARNING DISABILITY
201213,RHM,ACUTE - TEACHING
201213,RHQ,ACUTE - TEACHING
201213,RHU,ACUTE - LARGE
201213,RHW,ACUTE - LARGE
201213,RJ1,ACUTE - TEACHING
201213,RJ2,ACUTE - MEDIUM
201213,RJ6,ACUTE - MEDIUM
201213,RJ7,ACUTE - TEACHING
201213,RJ8,MENTAL HEALTH AND LEARNING DISABILITY
201213,RJC,ACUTE - SMALL
201213,RJD,ACUTE - SMALL
201213,RJE,ACUTE - LARGE
201213,RJF,ACUTE - SMALL
201213,RJL,ACUTE - LARGE
201213,RJN,ACUTE - SMALL
201213,RJR,ACUTE - SMALL
201213,RJX,MENTAL HEALTH AND LEARNING DISABILITY
201213,RJZ,ACUTE - TEACHING
201213,RK5,ACUTE - MEDIUM
201213,RK9,ACUTE - LARGE
201213,RKB,ACUTE - LARGE
201213,RKE,ACUTE - SMALL
201213,RKL,MENTAL HEALTH AND LEARNING DISABILITY
201213,RL1,ACUTE - SPECIALIST
201213,RL4,ACUTE - LARGE
201213,RLN,ACUTE - LARGE
201213,RLQ,ACUTE - SMALL
201213,RLT,ACUTE - SMALL
201213,RLU,ACUTE - SPECIALIST
201213,RLY,MENTAL HEALTH AND LEARNING DISABILITY
201213,RM1,ACUTE - TEACHING
201213,RM2,ACUTE - TEACHING
201213,RM3,ACUTE - TEACHING
201213,RMC,ACUTE - MEDIUM
201213,RMP,ACUTE - SMALL
201213,RMY,MENTAL HEALTH AND LEARNING DISABILITY
201213,RN3,ACUTE - SMALL
201213,RN5,ACUTE - SMALL
201213,RN7,ACUTE - SMALL
201213,RNA,ACUTE - MEDIUM
201213,RNK,MENTAL HEALTH AND LEARNING DISABILITY
201213,RNL,ACUTE - MEDIUM
201213,RNN,MENTAL HEALTH AND LEARNING DISABILITY
201213,RNQ,ACUTE - SMALL
201213,RNS,ACUTE - MEDIUM
201213,RNU,MENTAL HEALTH AND LEARNING DISABILITY
201213,RNZ,ACUTE - MEDIUM
201213,RP1,MENTAL HEALTH AND LEARNING DISABILITY
201213,RP4,ACUTE - SPECIALIST
201213,RP5,ACUTE - LARGE
201213,RP6,ACUTE - SPECIALIST
201213,RP7,MENTAL HEALTH AND LEARNING DISABILITY
201213,RPA,ACUTE - MEDIUM
201213,RPC,ACUTE - SPECIALIST
201213,RPG,MENTAL HEALTH AND LEARNING DISABILITY
201213,RPY,ACUTE - SPECIALIST
201213,RQ3,ACUTE - SPECIALIST
201213,RQ6,ACUTE - TEACHING
201213,RQ8,ACUTE - MEDIUM
201213,RQM,ACUTE - TEACHING
201213,RQQ,ACUTE - SMALL
201213,RQW,ACUTE - SMALL
201213,RQX,ACUTE - MEDIUM
201213,RQY,MENTAL HEALTH AND LEARNING DISABILITY
201213,RR1,ACUTE - LARGE
201213,RR7,ACUTE - MULTI-SERVICE
201213,RR8,ACUTE - TEACHING
201213,RRD,MENTAL HEALTH AND LEARNING DISABILITY
201213,RRE,MENTAL HEALTH AND LEARNING DISABILITY
201213,RRF,ACUTE - MEDIUM
201213,RRJ,ACUTE - SPECIALIST
201213,RRK,ACUTE - TEACHING
201213,RRP,MENTAL HEALTH AND LEARNING DISABILITY
201213,RRU,AMBULANCE
201213,RRV,ACUTE - TEACHING
201213,RT1,MENTAL HEALTH AND LEARNING DISABILITY
201213,RT2,MENTAL HEALTH AND LEARNING DISABILITY
201213,RT3,ACUTE - SPECIALIST
201213,RT5,MENTAL HEALTH AND LEARNING DISABILITY
201213,RTD,ACUTE - TEACHING
201213,RTE,ACUTE - LARGE
201213,RTF,ACUTE - LARGE
201213,RTG,ACUTE - LARGE
201213,RTH,ACUTE - TEACHING
201213,RTK,ACUTE - MEDIUM
201213,RTP,ACUTE - MEDIUM
201213,RTQ,MENTAL HEALTH AND LEARNING DISABILITY
201213,RTR,ACUTE - LARGE
201213,RTV,MENTAL HEALTH AND LEARNING DISABILITY
201213,RTX,ACUTE - MEDIUM
201213,RV3,MENTAL HEALTH AND LEARNING DISABILITY
201213,RV5,MENTAL HEALTH AND LEARNING DISABILITY
201213,RV8,ACUTE - LARGE
201213,RV9,MENTAL HEALTH AND LEARNING DISABILITY
201213,RVJ,ACUTE - LARGE
201213,RVL,ACUTE - LARGE
201213,RVN,MENTAL HEALTH AND LEARNING DISABILITY
201213,RVR,ACUTE - LARGE
201213,RVV,ACUTE - LARGE
201213,RVW,ACUTE - LARGE
201213,RVY,ACUTE - SMALL
201213,RW1,MENTAL HEALTH AND LEARNING DISABILITY
201213,RW3,ACUTE - TEACHING
201213,RW4,MENTAL HEALTH AND LEARNING DISABILITY
201213,RW5,MENTAL HEALTH AND LEARNING DISABILITY
201213,RW6,ACUTE - LARGE
201213,RWA,ACUTE - TEACHING
201213,RWD,ACUTE - LARGE
201213,RWE,ACUTE - TEACHING
201213,RWF,ACUTE - LARGE
201213,RWG,ACUTE - MEDIUM
201213,RWH,ACUTE - LARGE
201213,RWJ,ACUTE - MEDIUM
201213,RWK,MENTAL HEALTH AND LEARNING DISABILITY
201213,RWN,MENTAL HEALTH AND LEARNING DISABILITY
201213,RWP,ACUTE - LARGE
201213,RWR,MENTAL HEALTH AND LEARNING DISABILITY
201213,RWV,MENTAL HEALTH AND LEARNING DISABILITY
201213,RWW,ACUTE - MEDIUM
201213,RWX,MENTAL HEALTH AND LEARNING DISABILITY
201213,RWY,ACUTE - LARGE
201213,RX1,ACUTE - TEACHING
201213,RX2,MENTAL HEALTH AND LEARNING DISABILITY
201213,RX3,MENTAL HEALTH AND LEARNING DISABILITY
201213,RX4,MENTAL HEALTH AND LEARNING DISABILITY
201213,RX6,AMBULANCE
201213,RX7,AMBULANCE
201213,RX8,AMBULANCE
201213,RX9,AMBULANCE
201213,RXA,MENTAL HEALTH AND LEARNING DISABILITY
201213,RXC,ACUTE - LARGE
201213,RXE,MENTAL HEALTH AND LEARNING DISABILITY
201213,RXF,ACUTE - LARGE
201213,RXG,MENTAL HEALTH AND LEARNING DISABILITY
201213,RXH,ACUTE - TEACHING
201213,RXK,ACUTE - LARGE
201213,RXL,ACUTE - LARGE
201213,RXM,MENTAL HEALTH AND LEARNING DISABILITY
201213,RXN,ACUTE - TEACHING
201213,RXP,ACUTE - LARGE
201213,RXQ,ACUTE - MULTI-SERVICE
201213,RXR,ACUTE - LARGE
201213,RXT,MENTAL HEALTH AND LEARNING DISABILITY
201213,RXV,MENTAL HEALTH AND LEARNING DISABILITY
201213,RXW,ACUTE - LARGE
201213,RXX,MENTAL HEALTH AND LEARNING DISABILITY
201213,RXY,MENTAL HEALTH AND LEARNING DISABILITY
201213,RY2,COMMUNITY
201213,RY3,COMMUNITY
201213,RY4,COMMUNITY
201213,RY5,COMMUNITY
201213,RY6,COMMUNITY
201213,RY7,COMMUNITY
201213,RY8,COMMUNITY
201213,RY9,COMMUNITY
201213,RYA,AMBULANCE
201213,RYC,AMBULANCE
201213,RYD,AMBULANCE
201213,RYE,AMBULANCE
201213,RYF,AMBULANCE
201213,RYG,MENTAL HEALTH AND LEARNING DISABILITY
201213,RYH,AMBULANCE
201213,RYJ,ACUTE - TEACHING
201213,RYK,MENTAL HEALTH AND LEARNING DISABILITY
201213,RYQ,ACUTE - LARGE
201213,RYR,ACUTE - MEDIUM
201213,RYV,ACUTE - MULTI-SERVICE
201213,RYW,COMMUNITY
201213,RYX,COMMUNITY
201213,RYY,COMMUNITY
201213,TAC,CARE TRUST
201213,TAD,CARE TRUST
201213,TAE,CARE TRUST
201213,TAF,CARE TRUST
201213,TAH,CARE TRUST
201213,TAJ,CARE TRUST
201213,TAK,CARE TRUST
201213,TAP,CARE TRUST
201112,5A3,CARE TRUST
201112,5A4,CARE TRUST
201112,5A7,CARE TRUST
201112,5A8,CARE TRUST
201112,5A9,CARE TRUST
201112,5AT,CARE TRUST
201112,5C1,CARE TRUST
201112,5C2,CARE TRUST
201112,5C3,CARE TRUST
201112,5C4,CARE TRUST
201112,5C5,CARE TRUST
201112,5C9,CARE TRUST
201112,5CN,CARE TRUST
201112,5CQ,CARE TRUST
201112,5D7,CARE TRUST
201112,5D8,CARE TRUST
201112,5EM,CARE TRUST
201112,5F7,CARE TRUST
201112,5FE,CARE TRUST
201112,5FL,CARE TRUST
201112,5GC,CARE TRUST
201112,5H1,CARE TRUST
201112,5H8,CARE TRUST
201112,5HG,CARE TRUST
201112,5HP,CARE TRUST
201112,5HX,CARE TRUST
201112,5HY,CARE TRUST
201112,5J2,CARE TRUST
201112,5J4,CARE TRUST
201112,5J5,CARE TRUST
201112,5JX,CARE TRUST
201112,5K5,CARE TRUST
201112,5K6,CARE TRUST
201112,5K7,CARE TRUST
201112,5K8,CARE TRUST
201112,5KF,CARE TRUST
201112,5KG,CARE TRUST
201112,5KL,CARE TRUST
201112,5L1,CARE TRUST
201112,5LA,CARE TRUST
201112,5LC,CARE TRUST
201112,5LD,CARE TRUST
201112,5LE,CARE TRUST
201112,5LF,CARE TRUST
201112,5LH,CARE TRUST
201112,5M3,CARE TRUST
201112,5M8,CARE TRUST
201112,5MV,CARE TRUST
201112,5N1,CARE TRUST
201112,5N2,CARE TRUST
201112,5N4,CARE TRUST
201112,5N7,CARE TRUST
201112,5N8,CARE TRUST
201112,5NA,CARE TRUST
201112,5NC,CARE TRUST
201112,5NE,CARE TRUST
201112,5NF,CARE TRUST
201112,5NG,CARE TRUST
201112,5NH,CARE TRUST
201112,5NJ,CARE TRUST
201112,5NL,CARE TRUST
201112,5NN,CARE TRUST
201112,5NP,CARE TRUST
201112,5NQ,CARE TRUST
201112,5NR,CARE TRUST
201112,5NV,CARE TRUST
201112,5NX,CARE TRUST
201112,5P1,CARE TRUST
201112,5P2,CARE TRUST
201112,5P5,CARE TRUST
201112,5PA,CARE TRUST
201112,5PC,CARE TRUST
201112,5PD,CARE TRUST
201112,5PE,CARE TRUST
201112,5PF,CARE TRUST
201112,5PH,CARE TRUST
201112,5PJ,CARE TRUST
201112,5PN,CARE TRUST
201112,5PT,CARE TRUST
201112,5PW,CARE TRUST
201112,5PX,CARE TRUST
201112,5PY,CARE TRUST
201112,5QC,CARE TRUST
201112,5QE,CARE TRUST
201112,5QH,CARE TRUST
201112,5QJ,CARE TRUST
201112,5QN,CARE TRUST
201112,5QT,CARE TRUST
201112,NAX,INDEPENDENT SECTOR
201112,NL3,INDEPENDENT SECTOR
201112,NLY,INDEPENDENT SECTOR
201112,NNV,INDEPENDENT SECTOR
201112,NQ7,INDEPENDENT SECTOR
201112,NQL,INDEPENDENT SECTOR
201112,NR5,INDEPENDENT SECTOR
201112,R1A,MENTAL HEALTH AND LEARNING DISABILITY
201112,R1C,ACUTE - MULTI-SERVICE
201112,R1D,COMMUNITY
201112,R1E,ACUTE - SMALL
201112,RA2,ACUTE - MEDIUM
201112,RA3,ACUTE - SMALL
201112,RA4,ACUTE - SMALL
201112,RA7,ACUTE - TEACHING
201112,RA9,ACUTE - MEDIUM
201112,RAE,ACUTE - TEACHING
201112,RAJ,ACUTE - MEDIUM
201112,RAL,ACUTE - TEACHING
201112,RAN,ACUTE - SPECIALIST
201112,RAP,ACUTE - SMALL
201112,RAS,ACUTE - MULTI-SERVICE
201112,RAT,MENTAL HEALTH AND LEARNING DISABILITY
201112,RAX,ACUTE - MEDIUM
201112,RBA,ACUTE - SMALL
201112,RBB,ACUTE - SPECIALIST
201112,RBD,ACUTE - SMALL
201112,RBK,ACUTE - SMALL
201112,RBL,ACUTE - TEACHING
201112,RBN,ACUTE - MEDIUM
201112,RBQ,ACUTE - SPECIALIST
201112,RBS,ACUTE - SPECIALIST
201112,RBT,ACUTE - SMALL
201112,RBV,ACUTE - SPECIALIST
201112,RBZ,ACUTE - SMALL
201112,RC1,ACUTE - SMALL
201112,RC3,ACUTE - SMALL
201112,RC9,ACUTE - MEDIUM
201112,RCB,ACUTE - MEDIUM
201112,RCC,ACUTE - MULTI-SERVICE
201112,RCD,ACUTE - SMALL
201112,RCF,ACUTE - MEDIUM
201112,RCU,ACUTE - SPECIALIST
201112,RCX,ACUTE - SMALL
201112,RD1,ACUTE - MEDIUM
201112,RD3,ACUTE - MEDIUM
201112,RD7,ACUTE - MEDIUM
201112,RD8,ACUTE - SMALL
201112,RDD,ACUTE - MEDIUM
201112,RDE,ACUTE - SMALL
201112,RDR,MENTAL HEALTH AND LEARNING DISABILITY
201112,RDU,ACUTE - MEDIUM
201112,RDY,MENTAL HEALTH AND LEARNING DISABILITY
201112,RDZ,ACUTE - MEDIUM
201112,RE9,ACUTE - SMALL
201112,REF,ACUTE - LARGE
201112,REM,ACUTE - MEDIUM
201112,REN,ACUTE - SPECIALIST
201112,REP,ACUTE - SPECIALIST
201112,RET,ACUTE - SPECIALIST
201112,RF4,ACUTE - LARGE
201112,RFF,ACUTE - SMALL
201112,RFR,ACUTE - SMALL
201112,RFS,ACUTE - SMALL
201112,RFW,ACUTE - SMALL
201112,RGC,ACUTE - MEDIUM
201112,RGD,MENTAL HEALTH AND LEARNING DISABILITY
201112,RGM,ACUTE - SPECIALIST
201112,RGN,ACUTE - MEDIUM
201112,RGP,ACUTE - SMALL
201112,RGQ,ACUTE - MEDIUM
201112,RGR,ACUTE - SMALL
201112,RGT,ACUTE - TEACHING
201112,RH5,MENTAL HEALTH AND LEARNING DISABILITY
201112,RH8,ACUTE - LARGE
